ChemicalID,ChemicalName,drug_index
C107690,"2,7,8-trimethyl-2-(beta-carboxyethyl)-6-hydroxychroman",303
C549913,"2-((8-chlorodibenzo(b,f)thiepin-10-yl)oxy)-N-methylethan-1-amine",304
C062897,28-deoxonimbolide,305
C522027,"(2,8-dioxabicyclo(3.3.0)oct-6-yl)-N-(4-((3,4-methylenedioxyphenyl)sulfonyl-(2-methylpropyl)amino)-3-hydroxy-1-phenylbutan-2-yl) carbamate",306
C000597780,28-O-caffeoyl betulin,307
C507130,2-(8-quinolinoxy)propionic acid,308
C023704,2-acetamidoethanethiol,309
C575483,2-acetoxy-5-(2-4-(trifluoromethyl)phenethylamino)benzoic acid,310
C104935,2-(allylthio)pyrazine,311
C061610,"2-amino-1,9-dihydro-9-(3-hydroxy-4-(hydroxymethyl)cyclopentyl)-6H-purine-6-one",312
C089836,2-amino-2-methyl-4-phosphonobutyrate,313
C036990,"2-amino-3,8-dimethylimidazo(4,5-f)quinoxaline",314
C581356,"2-amino-4-(3,4-(methylenedioxy)benzylamino)-6-(3-methoxyphenyl)pyrimidine",315
C114614,2-amino-4-methylenecyclopentane-1-carboxylic acid,316
C012729,2-amino-4-phosphonobutyric acid,317
C015672,2-amino-4-picoline,318
C093124,"2-amino-5,6-dihydro-6-methyl-4H-1,3-thiazine",319
C077642,"2-amino-5-phosphonomethyl(1,1'-biphenyl)-3-propanoic acid",320
C461207,"2-amino-6-(4-methoxyphenylthio)-9-(2-(phosphonomethoxy)ethyl)purine bis(2,2,2-trifluoroethyl) ester",321
C570662,"2-amino-8-(4-(2-hydroxyethoxy)cyclohexyl)-6-(6-methoxypyridin-3-yl)-4-methylpyrido(2,3-d)pyrimidin-7(8H)-one",322
C538758,2-aminoethyl diphenylborinate,323
C027667,2-aminophenol,324
D015075,2-Aminopurine,325
C484327,2'-benzoyloxycinnamaldehyde,326
C553968,"2-benzylidene-4-phenyl-1,3-diselenole",327
C570406,2-chloro-4'-methoxychalcone,328
C457499,2-chloro-5-nitrobenzanilide,329
